"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.133539177E2,6.495590657E1,2.552971153E1,3.301861536E0,1.550412839E0,3.547881378E2,4.723349376E0,3.393303361E0
1.143561370E2,6.495591940E1,2.552972386E1,2.765900654E0,1.531600391E0,2.839932346E0,4.720292980E0,3.397553711E0
1.153548850E2,6.495593239E1,2.552970304E1,2.493416958E0,1.579380319E0,3.486128302E2,4.721179120E0,3.396322238E0
1.163557563E2,6.495594243E1,2.552970204E1,2.033600541E0,1.497425104E0,3.487345105E2,4.720229241E0,3.397642262E0
1.173522577E2,6.495595130E1,2.552969870E1,2.282559814E0,1.241009360E0,3.474757141E2,4.725012142E0,3.390987658E0
1.183576198E2,6.495596091E1,2.552971260E1,2.910014313E0,1.135885945E0,2.875318408E0,4.726465965E0,3.388960978E0
1.193526351E2,6.495598074E1,2.552969699E1,3.526391478E0,1.810124986E0,3.525808939E2,4.724021261E0,3.392367929E0
1.203517787E2,6.495598839E1,2.552970302E1,3.457002155E0,1.497840593E0,3.594321913E2,4.719916213E0,3.398077099E0
1.213546741E2,6.495600172E1,2.552970567E1,3.434266549E0,1.488549176E0,7.464791463E-2,4.720457549E0,3.397325059E0
1.223564507E2,6.495600768E1,2.552969803E1,2.789814059E0,1.114874724E0,3.489086083E2,4.723352468E0,3.393299058E0
1.233546788E2,6.495600935E1,2.552970125E1,3.758973895E0,5.863711237E-1,3.476945431E2,4.729436084E0,3.384814820E0
1.243531202E2,6.495602674E1,2.552970319E1,3.892683549E0,1.247970369E0,3.535233349E2,4.731236230E0,3.382298149E0
1.253512787E2,6.495604196E1,2.552970552E1,3.245575767E0,1.535197736E0,3.571332306E2,4.730420976E0,3.383438255E0
1.263597068E2,6.495605255E1,2.552971053E1,3.035504476E0,1.510425736E0,4.966063271E-1,4.729516901E0,3.384701895E0
1.273580940E2,6.495606579E1,2.552970918E1,3.187918453E0,1.508004913E0,2.643289007E0,4.727767367E0,3.387145222E0
1.283563015E2,6.495608094E1,2.552970833E1,4.021060585E0,1.519491629E0,4.631906481E0,4.725213714E0,3.390706769E0
1.293547235E2,6.495609479E1,2.552969889E1,4.451657737E0,1.506089716E0,1.968974052E0,4.722603278E0,3.394341661E0
1.303584613E2,6.495610706E1,2.552969819E1,4.544701814E0,1.508998961E0,3.590151647E2,4.722447474E0,3.394558422E0
1.313555509E2,6.495611783E1,2.552970013E1,3.640209734E0,1.502067470E0,2.184587390E-1,4.722339930E0,3.394708032E0
