"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.865465083E0,5.787506079E-1,1.897023869E-1,8.320377374E-1
2.875459083E0,2.091723724E-1,1.769075096E-1,1.427796507E-1
2.885452083E0,2.626240365E-2,5.468666911E-2,-1.229967660E-1
2.895445083E0,-1.384157275E-1,-5.850665510E-2,-3.515761203E-1
2.905439083E0,-3.562662450E-1,-4.636666596E-2,-4.807878917E-1
2.915432083E0,-4.481600630E-1,1.156520784E-2,-5.544674867E-1
2.925425083E0,-3.437472101E-1,-5.316873193E-3,-6.962203664E-1
2.935419083E0,-1.015629930E-1,-5.183965981E-2,-8.249158287E-1
2.945412083E0,6.798126407E-2,-1.621812969E-2,-7.344482929E-1
2.955405083E0,1.479031272E-1,1.247082460E-1,-4.325302362E-1
2.965399083E0,4.460547730E-1,3.484867439E-1,-3.642739338E-1
2.975392083E0,5.278745692E-1,5.711680117E-1,1.132003409E-1
2.985385083E0,9.611236475E-2,5.858986098E-1,5.008888650E-1
2.995379083E0,-1.235896005E-1,4.051921642E-1,3.612240261E-1
3.005372083E0,2.325342648E-2,2.119817403E-1,5.986496329E-2
3.015365083E0,1.483676885E-1,2.565462944E-1,1.723045814E-1
3.025359083E0,2.722742081E-1,4.493465361E-1,5.025143909E-1
3.035352083E0,3.748745703E-1,5.877056918E-1,7.470122051E-1
3.045345083E0,1.283521577E-1,5.920785320E-1,6.126420200E-1
3.055339083E0,-2.223218834E-1,5.356072927E-1,8.052609980E-2
3.065332083E0,-4.817640844E-1,5.190318981E-1,-2.032299203E-1
3.075325083E0,-4.882822680E-1,5.779548749E-1,-2.691081601E-1
3.085319083E0,-4.196086206E-1,5.207577038E-1,-3.138416988E-1
3.095312083E0,-3.587160091E-1,4.252270639E-1,-3.422813863E-1
3.105306083E0,-3.504533087E-1,4.782592633E-1,-2.942044097E-1
3.115299083E0,-2.340088595E-1,6.438214204E-1,-1.246450961E-1
3.125292083E0,-1.482110562E-1,8.067181242E-1,1.644079167E-1
3.135285083E0,-1.707297070E-1,9.232189259E-1,3.685868400E-1
3.145279083E0,-2.705791734E-1,9.463929033E-1,5.207822621E-1
3.155272083E0,-2.874843509E-1,1.032396382E0,6.300491810E-1
3.165266083E0,-3.990457904E-1,1.036613394E0,7.196448970E-1
3.175259083E0,-2.685282625E-1,9.068110541E-1,7.628447109E-1
3.185252083E0,-3.742978156E-1,6.960958207E-1,8.384907246E-1
3.195246083E0,-4.534449957E-1,6.357279968E-1,6.367150068E-1
3.205239083E0,-3.241314827E-1,8.539124635E-1,3.828908837E-1
3.215232083E0,-6.684902385E-3,1.048237074E0,7.741713524E-2
3.225226083E0,-1.393755114E-1,9.639582315E-1,-1.345678210E-2
3.235219083E0,-1.943191656E-1,7.005689406E-1,-1.433708042E-1
3.245212083E0,3.285024226E-2,7.107097667E-1,-3.456680936E-1
3.255206083E0,4.056403533E-2,7.192966953E-1,-1.425592107E-1
3.265199083E0,-5.258342564E-2,5.914566806E-1,1.757784122E-1
3.275192083E0,-7.644401237E-2,3.830209842E-1,5.415936720E-1
3.285186083E0,-2.334550551E-1,3.169725904E-1,8.965500677E-1
3.295179083E0,-4.993240405E-1,3.446281663E-1,1.200807595E0
3.305172083E0,-8.014918097E-1,3.972709411E-1,1.433449010E0
3.315166083E0,-8.616649944E-1,4.518345264E-1,1.745031345E0
3.325159083E0,-6.139690456E-1,3.182160008E-1,1.930085195E0
3.335152083E0,-3.123600143E-1,7.160617232E-2,1.782158825E0
3.345146083E0,-7.385153968E-2,-3.051343176E-1,1.298922120E0
3.355139083E0,-6.377192661E-3,-4.888409695E-1,6.152428615E-1
3.365132083E0,-1.239652111E-1,-4.809843582E-1,-8.463435352E-2
3.375126083E0,-3.077024147E-1,-4.951322812E-1,-5.569022673E-1
3.385119083E0,-4.051781674E-1,-5.575507236E-1,-8.066935658E-1
3.395112083E0,-4.594366742E-1,-8.109532624E-1,-8.820039493E-1
3.405106083E0,-3.835379146E-1,-9.851587737E-1,-1.128978644E0
3.415099083E0,-3.694742281E-1,-8.201544410E-1,-1.089879482E0
3.425092083E0,-1.633364875E-1,-7.823673946E-1,-5.892408782E-1
3.435086083E0,2.659752585E-1,-6.238844615E-1,1.503798616E-1
3.445079083E0,1.574698847E-1,5.158647537E-2,4.630035853E-1
3.455072083E0,-8.565140359E-2,-1.899970865E-1,5.945858181E-2
3.465066083E0,1.224459948E-1,-6.471563798E-1,-6.455255914E-1
3.475059083E0,4.374084952E-1,-9.078620911E-1,-8.871202630E-1
3.485052083E0,5.990073363E-1,-1.282510740E0,-7.669313300E-1
3.495046083E0,8.673101887E-1,-1.485481043E0,-9.248979539E-1
3.505039083E0,8.949672995E-1,-1.548781246E0,-1.027738198E0
3.515032083E0,9.653525732E-1,-1.672264500E0,-9.532166040E-1
3.525026083E0,1.108989060E0,-1.774391969E0,-7.420742315E-1
3.535019083E0,1.250619587E0,-1.732828791E0,-3.422691071E-1
3.545012083E0,1.254030852E0,-1.565168068E0,-6.322886646E-2
3.555006083E0,1.013260711E0,-1.330478373E0,-1.837300408E-1
3.564999083E0,8.621431504E-1,-9.808973229E-1,-4.176098961E-1
3.574992083E0,8.604358365E-1,-6.578193623E-1,-4.454251009E-1
3.584986083E0,7.902927107E-1,-5.352935895E-1,-1.447712123E-1
3.594979083E0,5.673719993E-1,-7.170300221E-1,2.736455995E-1
3.604972083E0,3.400727833E-1,-6.887429470E-1,6.887645817E-1
3.614966083E0,3.576529122E-1,-3.592646241E-1,8.003949451E-1
3.624959083E0,3.231676057E-1,-2.912123895E-1,9.725679642E-1
3.634952083E0,1.500147669E-1,-3.581779191E-1,1.070952630E0
3.644946083E0,-1.895188802E-2,-4.139305356E-1,9.308305389E-1
3.654939083E0,-2.717657471E-2,-3.874344626E-1,8.256321126E-1
3.664932083E0,-8.435539565E-2,-4.053196335E-1,9.081222922E-1
3.674926083E0,-6.502169130E-2,-2.881338304E-1,1.088592510E0
3.684919083E0,1.190587941E-1,1.472287971E-1,1.134962100E0
3.694912083E0,5.961393045E-2,3.571029085E-1,7.535727811E-1
3.704906083E0,-1.518596548E-1,2.912413332E-1,2.532031488E-1
3.714899083E0,-2.039742708E-1,4.116732180E-2,-5.738282025E-2
3.724892083E0,-1.915445887E-1,-1.557511139E-1,-3.941689932E-1
3.734886083E0,-1.579370589E-1,-1.099647841E-1,-7.517823637E-1
3.744879083E0,-2.230093515E-1,2.030182511E-2,-1.101155253E0
3.754872083E0,-3.660772882E-1,-1.226658136E-2,-1.224006423E0
3.764866083E0,-2.913401329E-1,-1.539662513E-1,-1.195007742E0
3.774859000E0,-1.735743774E-1,-1.912726566E-1,-9.363859785E-1
3.784852000E0,1.169610598E-1,-7.937419832E-2,-6.241557723E-1
